@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

weather.symbolic,5,2,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,12,2,1,1,0,50,50,0,0,0.414323,0.470034,82.864618,90.389727,2.122857,1.767342,0.355515,1.061428,0.883671,0.177757,0.355515,0.177757,16.746991,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,1,1,0.5,0.5,0.5,0.5,?,0.5,?,?,1,1,?,0.5,0,0,0,0,0,0,763,2509,1819,100,100,?
weather.symbolic,5,3,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,12,2,0,2,0,0,100,0,-1,0.53385,0.534466,106.769911,102.780465,2.122857,2.206647,-0.083791,1.061428,1.103324,-0.041895,-0.186056,-0.093028,-8.764415,0,0,1,1,0,0,1,1,0,0,0,-1,0,0.5,0,1,0,1,0,0,0,-1,0,0.5,0,0,0.001,0,0.015625,0,15.625,0,763,2509,1819,100,100,?
weather.symbolic,5,4,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,12,2,1,1,0,50,50,0,0,0.469128,0.504908,93.825654,97.096262,2.122857,2.01757,0.105287,1.061428,1.008785,0.052643,0.129808,0.064904,6.114778,0,0,0,0,1,1,1,1,?,0,?,?,1,1,0.5,0.5,0.5,0.5,?,0.5,?,?,1,1,?,0.5,0,0,0,0,0,0,763,2509,1819,100,100,?
weather.symbolic,5,5,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,1,0,0,100,0,0,1,0.363713,0.363713,90.928219,90.928219,0.736966,0.65225,0.084715,0.736966,0.65225,0.084715,0.084715,0.084715,11.495167,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,5,6,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,1,0,0,100,0,0,1,0.160044,0.160044,40.011111,40.011111,0.736966,0.251615,0.48535,0.736966,0.251615,0.48535,0.48535,0.48535,65.857959,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,5,7,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,0,1,0,0,100,0,0,0.631656,0.631656,157.91397,157.91397,0.736966,1.440874,-0.703908,0.736966,1.440874,-0.703908,-0.659139,-0.659139,-89.439562,0,0,?,0,?,0,1,1,?,0,?,?,?,1,0,?,?,1,?,0,?,?,?,1,?,0,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,5,8,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,1,0,0,100,0,0,1,0.445626,0.445626,111.406558,111.406558,0.736966,0.851069,-0.114104,0.736966,0.851069,-0.114104,-0.155834,-0.155834,-21.145379,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,5,9,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,1,0,0,100,0,0,1,0.243304,0.243304,60.826028,60.826028,0.736966,0.402214,0.334751,0.736966,0.402214,0.334751,0.334751,0.334751,45.422895,1,1,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,5,10,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,13,1,0,1,0,0,100,0,0,0.63921,0.63921,95.881476,95.881476,1.584963,1.470768,0.114194,1.584963,1.470768,0.114194,0.114194,0.114194,7.204864,?,0,1,1,0,0,?,0,0,?,?,?,?,?,0,?,?,1,?,0,?,?,?,1,?,0,0,0,0,0,0,0,763,2578,1750,100,100,?
weather.symbolic,6,1,weka.classifiers.yby.NB_yby_featureWeight,'',-6923762124666083281,20230517.0557,12,2,1,1,0,50,50,0,0,0.414323,0.470034,82.864618,90.389727,2.122857,1.767342,0.355515,1.061428,0.883671,0.177757,0.355515,0.177757,16.746991,1,1,1,1,0,0,0,0,0.5,1,0.666667,?,1,1,0.5,0.5,0.5,0.5,?,0.5,?,?,1,1,?,0.5,0,0,0,0,0,0,763,2509,1819,100,100,?
